Disparagement , Ezhìsá 
Disparate,  Kpákpankuru
 Dispatch  ,Gèrě 
Disperse , Sakpa 
Display  ,Wúdê 
Display  ,Dêwú 
Dispute  ,Gbóyé 
Dispute  ,Yégbó 
Disrespect , Yègbà 
Disrespect , Gbàye 
Dissident  ,Wútí 
Dissolve , Zhǐṇyé
 Dissolve , Kpò 
Dissolve,  Le 
Distaff , Esa 
Distance  ,Kpámà 
Distant,  Màkpá 
Distend,   Dzaga 
Distension , Kpiambia 
Distill , Sàṇto 
Distillation,  Sàṇsàṇto 
Distinct  ,Béré 
Distinctly  ,Bérébéré 
Distinguish,  Wakà 
Distinguished , Kàwaci Ekàwaci 
Distract , Dìṇyé 
Distress , Nyạgbàṇsá 
Distressed,  Sányạgbàṇ 
Distribute , Nǎ 
Distribution,  Ninǎ 
District  ,Kázhì Eká ezhì 
District ,  Kázhìtí 
Distrust , Shiaka 
Distrust,  De shiaka 
Disturb  ,Gạnsuṇ 
Disturbance,  Suṇgạn Esuṇgạn 
Ditch,  Edáṇ 
Ditty  ,Dzagzaga 
Dive , Kiàkuṇ 
Dive , Kuṇkià 
Diver , Kuṇkiàci 
Diverge,  Sá Kpàlàkà 
Divergence,  Kpàlàkà 
Diverse  ,Jin titi 
Diversity  ,Titititi 
Divert  ,Cetu
 Divide,  Gáṇ
 Dividend , Gigáṇrǐ 
Dividing  ,Gigáṇ 
Division , Ègáṇ 
Divination,  Ebasạn 
Divination (in sand) , Kurân 
Divination kit,  Eba 
Divine,  Tsátsági 
Divine,  Zàtsátsá 
Divine(general term)  ,Sạnba
 Divine , Sạnkpiàkpiâ 
Divine (in sand) , Sạnjìkàṇà 
Divine (on board)  ,Sạnkpàkogi 
Diviner , Ebasạnci 
Divorce , La yàwǒ
 Divorce  ,Yàwǒla 
Divorcee  ,Mulawugi 
Divulge,  Yítǎ 
Dizzy ,  Kuyì 
Do , Jiṇ 
Doctor , Májiṇ 
Doctor ,(medical)  Májiṇ cigbè 
Dodder, (plant)  Soko cecengi 
Dodder (old age),  Gbènyǐ 
Doddering  ,Gbèngbènyǐ 
Dodge , Ya 
Doer , Jiṇci ejiṇci 
Doff , Liǎ 
Dog,  Eshìgi 
Dogmatic , Kpètǔ 
Doily , Kpankaragi 
Doing,  Jiṇjiṇ 
Dole , Kóngi 
Dole out , Kó kóngi 
Doll  ,Gidzǒ Egi èdzǒ 
Dollar , Dalà 
Domestic animal  ,Nankpa
 Dominate , Gítídạn Gí etí dạn
 Domination,  Tídạngí 
Donate,  Cewo 
Donation,  Woce 
Done , Génạ  
Donkey , Kiátiá Kiátiági  
Doom (palm) , Gòrǐba 
Door  ,Kpàko 
Doorkeeper , Kpàkopaci 
Doormat , Kpàkotsu 
Doormat,  Sáṇyìwa 
Doormat   Doorplate  ,Gwazúṇkpàko 
Doorway,  Yǎkǔṇmisuṇ 
Dormouse,  Dùṇtsú 
Dot , Shian 
Double , Pà zabà 
Double,  Zabà 
Double-cross , Kiàvo 
Double cross,  Evokià 
Double crosser  ,Vokiàci 
Double-dealer,  Tàvo 
Double-dealing,  Votà Evotà 
Double-jointed , Wa binnì 
Double jointed person , Binnì 
Double-jointedness,  Binnìwa 
Double up,  Pàgúbà 
Doubt , Kómbèke 
Doubt  ,Jiṇ kómbèke 
Doubtless,  Kómbèkemạ à 
Dough,  Kàmù 
Doughy,  Kàmù kàmù 
Dove , Lùkó Lùkóngi 
Dove (wild)  ,Dàbà 
Dowel ,Kpakoso 
Down , Shìta 
Down (fluffy) , Bàrà 
Down-and-outer , Dandalukugi 
Downfall,  Kinzun 
Downtown,  Ntàkò Ezhìtàkò 
Downy (hairy) , Dùsùnyǐ 
Downy (fluffy)  , Bàràwa 
Downright,  Fem
 Downpour (rain) , Dùswà Ele dù swàswànyǐ 
Dowry  ,Yéle 
Doze  ,Tàyìgbě 
Doze , Yìgbě Yìgbětà 
Drab ,Dòkan 
Drag,  Gbá 
Dragnet  ,Sạngbàrà 
Dragon,  Duwa 
Dragonfly , Dìnderegi 
 
Drafts,  Eshì Ezhegi 
Drain , Lèjègi 
Drain,  Jèlè 
Drainage,  Lènjè 
Drama,  Dzòròngi 
Dramatize,  Dzòrò 
Drape,  Kpebà 
Drape  ,Bàkpegi 
Draw  ,Dìṇ 
Draw (image),  Sàṇnyạ 
Draw (water) , Shé 
Drawer,  Dìṇshéci 
Drawing (image) , Nyasan 
Drawstring (trousers) , Ègbạṇ tsàká 
Drawn (haggard)  ,Gboro 
Dre  ,Danwo 
Dre ,  Wodan
 Drelock , Gbegbenyì
 Dream,  Ènạ 
