 Guidance , Bawu Ebawu 
 Guile,  Èbì 
Guilt , Ebogi 
Guilty , Gibo 
Guinea corn , Èkpáṇ Yìkpáṇ Eyìkpáṇ 
Guinea corn (grasslike) , Epoko 
Guinea corn (red),  Èkpáṇ dzuru 
Guinea corn (white) , Èkpáṇ bokungi
 Guinea corn (yellow) , Èkpáṇ emigi 
Guinea corn (a cultivar),  Beyigi
 Guinea corn (a cultivar) , Gbǎgù 
Guinea corn (a cultivar),  Kuyì 
Guinea fowl  ,Shelu 
Guinea pig,  Zetsú
 Guinea worm , Sòmbìyà 
Guinea worm (disease),  Kùnnù 
Guitar , Gìtá
 Gulf  ,Buko Ebuko 
Gullet,  Yǐkpakpagi 
Gulp  Guna Gum , Èce 
Gum (teeth) , Gikun 
Gun,  Nágbê 
Gun , Cé nágbê 
Gunman  ,Nágbêci 
Gunner,  Nágbêcéci 
Gunnel  ,Kpàrà 
Gunpowder , Tǎmù
 Gunslinger , Nágbêvunci 
Gunwale  ,Kpara 
Guru , Bèyǐ 
Gush  ,Lagwa 
Gusset , Elo 
Gust,  Ku Kufe 
Gust,  Efeku 
Gutta percha tree  ,Gbagun 
Gutter,  Dìṇyě  
 
  
