Aid station , Kiṇnigíbà ewúce 
Aid worker , Etuṇloci ewúce 
Aigrette,  Lúnbǒkùṇgi 
Aiguille  ,Tákùnkìn 
Aiguillette  ,Tákùnkìngi 
Aikido ,Nạgbạṇwàgạní; Àyìkídò 
Ail ,Guṇgùṇ
 Ailanthus , Cigbạnsòkófìṇ
 Aileron,  Gwapàgi 
Ailing , Gùṇguṇci 
Ailment , Egùṇguṇ
 Ailurophile  ,Dàngiwáci 
Ailurophobe,  Dàṇwǒcidàngi 
Aim ,Túgwa 
Aim  ,Gwatú; Egwatú 
Aimless , Zhìgwatú 
Ainhum,  Tìkpàtiṇ 
Ainu , Àyínù 
Aioli , Lowomí 
Air  ,Efè 
Air ,Túfè 
Airable , Fètáwǒci
 Air bag , Nạmbàfè
 Air bag injury  ,Ebànyi nạmbàfè 
Air ball ,Suṇgǐfè; Esuṇgǐfè 
Air base ,Biyétafè
 Air bed, Letífè 
Air bladder ,Mìvìdìnnìfè 
Airboat,  Eya nuwạṇfè 
Air box, Bátafè 
Airborne,  Dạnfè 
Air brake ,Zàṇkàṇgifè 
Airbrick , Lànkpàfè 
Air bridge ,Kpandarafè 
Airbrush,  Èfìṇgifè 
Airburst , Èlàfè 
Airbus , Kukàṇmạfè 
Air cargo agent  ,Zàtun kàràkofè 
Air chamber , Katandǎfè 
Air check, Pàyéciṇlěfè 
Air chief marshal , Bǎdòkò dzoguṇfè
 Air cleaning box , Kpàti edzútáfè 
Air commodore, Gàṇpàgifè
 Air-condition ,Edzúféfè 
Air conditioner, Edzúfégifè
 Air conditioning , Edzúféjiṇfè 
Aircon unit  ,Nníkạn Edúfè 
Air-cool , Dáfèfè 
Air cooler , Fèdàgifè 
Air Corps,  Nạbàgifè 
Air corridor  ,Dênpàfè 
Air cover,  Kperèfè 
Aircraft , Nyạtswagifìṇ
 Aircraft carrier , Nyạláci nyạtswagifìṇ 
Aircraftman , Ndǎnyạtswagifìṇ 
Aircraftwoman,  Nnǎnyạtswagifìṇ
 Aircrew , Samàṇfìṇ 
Air curtain,  Děyékàṇfè 
Air cushion,  Fùtùgifè 
Air cushion vehicle , Kiálági fùtùgifè
 Air dam , Ègàkófè 
Airdate , Fokùṇfè 
Air display  ,Dêwúfè
 Air division , Ègáṇfè 
Air door , Kpàkofè
 Airdrome,  Cibidàfìṇ 
Airdrop  ,Cíṇkùṇfìṇ
 Air-dry,  Túyifè 
Airedale , Éyadàyilì 
Airer,  Efètúci 
Air embolism,  Sobábìfè 
Air exchanger , Gwasàṇcifè 
Airfare,  Zàṇlèfìṇ
 Airfield,  Kânfìṇ; Kân nya èfìṇ 
Airflow , Èjèfè 
Airflown  ,Fufùfìṇci 
Airfoil , Fénifè 
Air force , Ebapàfè 
Air Force One  ,Niní ebapàfè 
Airframe , Ròkòfìṇ 
Airfreight  ,Kàràdàgifìṇ 
Air gas  ,Fèvuṇfè 
Airglow , Nạkófè 
Airhead , Etífìṇ 
Air guitar,  Gìtáfè 
Air gun,  Nạtsofè 
Air hockey,  Gòròkùṇfè
 Air hole,  Èfofè 
Air hostess,  Gagòyíwófìṇ
 Airily ,Fèginyi 
Airing , Fètú 
Airing cupboard , Pàtàkùṇmạndù fètú
 Air intake , Gínyifè 
Airish  ,Fufè 
Air jacket  ,Ewògifè
 Air-kiss  ,Miyéfè
 Air lane,  Darafè 
Air layering  ,Kukókpefè 
Airless , Ràfè 
Air letter , Báritsakáfè 
Airlift , Èfìṇdzúfìṇ 
Airline , Esùnfìṇ 
Airliner , Esùnfìṇci 
Airlock , Fifidạnfè 
Airmail , Fúfùfìṇ 
Airman,  Ndǎfìṇ 
Airman basic,  Biyékun ezàfìṇ 
Airman first class  ,Kàmàṇkùṇ kpátí ezàfìṇ 
Air marshal , Bǎdòkòfìṇ 
Air mass  ,Mạmạfè 
Air master  ,Ndǎbáfìṇ
 Air Medal , Kpàndzànàfìṇ 
Air mile , Kpózàṇfè 
Air Miles  ,Kpózàṇzhifè 
 
Airmobile , Gàkéfè 
Air officer , Zàtuṇbàfìṇ
 Airpack , Èkpofè 
Airpark , Gamạnfìṇ 
Airperson  ,Ezàfìṇ 
Air pistol , Àkùtiàgifè 
Airplane , Pàlàgifìṇ 
Air plant,  Sáṇṇáfè 
Airplay , Dzǒfè; Èdzǒfè 
Air pocket , Dzufạnfè 
Air police  ,Zhìyěfè 
Air popper,  Gúgúrúkạncifè 
Airport , Kpàtazúṇfìṇ 
Airport tax , Èdǔ kpàtazúṇfìṇ 
Airpower,  Kágbófìṇ 
Air pressure , Èdzupàfè 
Air print,  Kpópàgifè 
Air pump , Jèdìṇfè 
Air quality index  ,Gwàtùn lírikùṇfè 
Air rage , Wùṇpáṇfè 
Air raid  ,Èdògífè 
Air-ready  ,Sajiṇfè 
Air rifle  ,Àkpáràfè 
Air rights , Ebózhifè 
Air roll,  Èpiṇfè 
Air sac,  Jìga 
Air Scout  ,Tswàmàfìṇ 
Airscrew , Kàṇtsafè 
Air-sea rescue , Bubòya Èdùsạnfìṇ 
Airship , Eyakófìṇ 
Airshow , Èwúfìṇ 
Air shower , Dùshefè 
Airsickness , Gùṇtáṇfìṇ 
Airside,  Kàṇsàṇfìṇ 
Air sign,  Èlǐfè 
Air sock  ,Dàkùṇfè 
Airspace,  Làgǎṇfìṇ
 Air sparging  ,Èmíbèfè 
Air speed , Wùshìfè 
Air splint , Èlàfè 
Air spray , Fèshefè 
Air station , Kiṇnigíbàfìṇ 
Airstream , Nunjèfè 
Air strike , Nyạkefìṇ 
Airstrip,  Diàriàfìṇ 
Air stripping , Yèrètsafè
 Airt , Nǎrurí 
Air tanker,  Kpạnkòmícifìṇ 
Air taxi,  Gòdǔgifìṇ 
Air terminal , Kokobàfìṇ 
Air terrorism,  Eyédzújiṇfìṇ 
Airtight , Fègbáṇnyi 
Airtime,  Èkáfè 
Air-to-air , Èfìṇ-ló-’fìṇ 
Air-to-surface  ,Èfìṇ-zhǐṇ-títú 
Air traffic , Rongípáfìṇ 
Air-traffic control , Kàṇshì rongípáfìṇ 
Air vesicle , Kónuwạṇgifè 
Air vice-marshal  ,Bǎdòkògòsuṇbáfè 
Air walk  ,Ezàṇfè 
Airwaves  ,Gbánuwạṇzhìfè 
Airway,  Yèkódàfè 
Air waybill , Guṇtèkayèkódàfè 
Airway hyperactivity , Bibákàncéci 
Airwoman,  Nnǎfìṇ 
Airworthy,  Kuṇkéfè
 Airy  ,Fègi
