External,  Kátí 
Extinguish , Núnạ 
Extol , Kin
 Extort  ,Gí mùdzà
 Extortion , Mùdzàgí
 Extra  ,Ècé 
Extract  ,Wò 
Extravagant , Bembelegi
 Extreme , Kátí 
Extremity  ,Yěku Eyéku 
Exude , Sànmi 
Eye , Eyé 
Eye,  Káyé 
Eyeball , Yékòsuṇ 
Eyé, kòsuṇ
 Eyebrow  ,Eyé gàkpàṇ 
Eye lash,  Eyé biṇnì
 Eyelet , Eyégi
 Eyelid , Yèpa 
Eye-opener,  Eyékpéci
 Eye socket  ,Eyévo
 Eyetooth,  Gàrà 
 

